,Unnamed: 0,roles,companies,locations,experience,skills
0,0,Data Scientist - Lead / Architect - Looking For Early Joiners - Wipro,Wipro,"Kochi/Cochin, Kolkata, Pune, Gurgaon/Gurugram, Chennai, Coimbatore, Bangalore/Bengaluru, Mumbai (All Areas), Hyderabad",5-10 Yrs,"Data Science
SAS
Python
IT Skills
Artificial Intelligence
Cloud
Big Data
R"
1,1,Urgent Requirement || Data Scientist || Noida,HCL,"Noida, Delhi / NCR",3-8 Yrs,"IT Skills
Python
Machine Learning
NLP
Deep Learning"
2,2,Global Tax Automation & Operations - Data Scientist Senior Analyst,Dell,Bangalore/Bengaluru,3-5 Yrs,"Artificial Intelligence
Data Science
Data Analytics
IT Skills
Python
Testing
Machine Learning
RPA"
3,3,Data Analyst / Data Scientist / Business Analytics / Fresher - MNC,GABA Consultancy services,"Noida, New Delhi, Delhi / NCR",0-0 Yrs,"O2C
fresher data analyst
Power Bi
Banking
Data Management
Tableau
Marketing Analytics
graduate fresher"
4,4,Technical Architect/ Data Scientist,DMI Innovations Pvt. Ltd,"Noida, Pune, Chennai, Bangalore/Bengaluru
(WFH during Covid)",8-13 Yrs,"IT Skills
Python
Software Development
Testing
Data Science
Machine Learning
Artificial Intelligence
tensorflow"
5,5,Technical Architect/ Data Scientist,DMI Innovations Pvt. Ltd,"Noida, Pune, Chennai, Bangalore/Bengaluru
(WFH during Covid)",8-13 Yrs,"IT Skills
Python
Software Development
Testing
Data Science
Machine Learning
Artificial Intelligence
tensorflow"
6,6,Data Scientist/Senior Scientist - Python/Spark/Hadoop,Connexions,Gurgaon/Gurugram,2-6 Yrs,"CRB
Wallet
Telco
IT Skills
Python
Machine Learning
Cloud
Big Data"
7,7,Data Scientist - Lead / Architect - Looking For Early Joiners - Wipro,Wipro,"Kochi/Cochin, Kolkata, Pune, Gurgaon/Gurugram, Chennai, Coimbatore, Bangalore/Bengaluru, Mumbai (All Areas), Hyderabad",5-10 Yrs,"Data Science
SAS
Python
Artificial Intelligence
R
SQL
analytics
Microservices"
8,8,Data Analyst / Data Scientist,GUS Global Services,Gurgaon/Gurugram,3-4 Yrs,"Data Anlalytics
Power Bi
Tableau
excel
python
exploratory data analysis
data science
statistical modeling"
9,9,Data Scientist / ML Engineer,AVE-Promagne,"Noida, Kota, Mumbai, Chandigarh, Lucknow, Agra, Gurgaon/Gurugram, Jaipur, Bangalore/Bengaluru",3-8 Yrs,"data analysis
data science
predictive analytics
data visualization
machine learning
ML
statistics"
10,10,Data Scientist,TRH Consultancy Services,"Kolkata, Mumbai, Nagpur, Hyderabad/Secunderabad, Pune, Chennai, Coimbatore, Bangalore/Bengaluru, Delhi / NCR",5-10 Yrs,"R
Python
ML
IT Skills
Selenium
Machine Learning
Big Data
NLP"
11,11,Lead Data Scientist,NAVIKENZ INDIA PRIVATE LIMITED,"Hyderabad/Secunderabad, Bangalore/Bengaluru, Delhi / NCR
(WFH during Covid)",5-10 Yrs,"machine learning
nlp
data science
IT Skills
Java
Python
Cloud
Javascript"
12,12,Senior Data Scientist,Shell,"Chennai, Bangalore/Bengaluru",6-11 Yrs,"NLP
Computer Vision
Deep Learning
Data Science
Predictive Modeling
R
Reinforcement Learning
Data Analytics"
13,13,Data Scientist,SplashLearn,Gurgaon/Gurugram,4-9 Yrs,"Computer science
customer segmentation
Data analysis
Usage
Statistical analysis
data science
Analytical
Machine learning"
14,14,Data Scientist,Splash M,Gurgaon/Gurugram,,
15,15,,,,,
16,16,,,,,
17,17,,,,,
18,18,,,,,
19,19,,,,,
20,20,Data Scientist - Lead / Architect - Looking For Early Joiners - Wipro,Wipro,"Kochi/Cochin, Kolkata, Pune, Gurgaon/Gurugram, Chennai, Coimbatore, Bangalore/Bengaluru, Mumbai (All Areas), Hyderabad",5-10 Yrs,"Data Science
SAS
Python
IT Skills
Artificial Intelligence
Cloud
Big Data
R"
21,21,Urgent Requirement || Data Scientist || Noida,HCL,"Noida, Delhi / NCR",3-8 Yrs,"IT Skills
Python
Machine Learning
NLP
Deep Learning"
22,22,Global Tax Automation & Operations - Data Scientist Senior Analyst,Dell,Bangalore/Bengaluru,3-5 Yrs,"Artificial Intelligence
Data Science
Data Analytics
IT Skills
Python
Testing
Machine Learning
RPA"
23,23,Data Analyst / Data Scientist / Business Analytics / Fresher - MNC,GABA Consultancy services,"Noida, New Delhi, Delhi / NCR",0-0 Yrs,"O2C
fresher data analyst
Power Bi
Banking
Data Management
Tableau
Marketing Analytics
graduate fresher"
24,24,Technical Architect/ Data Scientist,DMI Innovations Pvt. Ltd,"Noida, Pune, Chennai, Bangalore/Bengaluru
(WFH during Covid)",8-13 Yrs,"IT Skills
Python
Software Development
Testing
Data Science
Machine Learning
Artificial Intelligence
tensorflow"
25,25,Technical Architect/ Data Scientist,DMI Innovations Pvt. Ltd,"Noida, Pune, Chennai, Bangalore/Bengaluru
(WFH during Covid)",8-13 Yrs,"IT Skills
Python
Software Development
Testing
Data Science
Machine Learning
Artificial Intelligence
tensorflow"
26,26,Data Scientist/Senior Scientist - Python/Spark/Hadoop,Connexions,Gurgaon/Gurugram,2-6 Yrs,"CRB
Wallet
Telco
IT Skills
Python
Machine Learning
Cloud
Big Data"
