,roles,companies,locations,experience,skills
0,Data Science - Machine Learning Engineer,BCG Attorney Search,"Ahmedabad(Bodakdev)
(WFH during Covid)",5-8 Yrs,"algorithms
Business Intelligence
Visualization
Statistician
predictive analytics
Big Data
Data Mining
machine learning"
1,Artificial Intelligence/Machine Learning Engineer,Ezeiatech Systems Private Limited,Gurgaon/Gurugram,0-5 Yrs,"IT Skills
Python
Machine Learning
Tensorflow
NLP
Artificial Intelligence
Deep Learning"
2,Computer Vision/Artificial Intelligence/Machine Learning Engineer,e-con Systems,Chennai,0-1 Yrs,"IT Skills
Python
Machine Learning
Artificial Intelligence
C++
Linux
Image Processing
Computer Vision"
3,"Faculty For Machine Learning And Big Data Job in Karve Nagar, Pune","MKSSS-AIT, Center for Data Science, Machine Learning and AI",Pune,0-3 Yrs,"training
machine learning
big data
SQL Server Analysis Services
Power Bi
Natural Language Processing
teaching
Tableau"
4,Associate Principal Engineer (Machine Learning),Nagarro,Remote,9-12 Yrs,"python
aws
machine learning
IT Skills
Cloud
kubernetes
build
design patterns"
5,Data Scientist (Machine Learning /AI),Mastermind Network,"Delhi / NCR
(WFH during Covid)",2-7 Yrs,"Tensorflow
deep learning
python
data science
Artificial Intelligence
decision trees
machine learning
Analytics"
6,Machine Learning Engineer,SPI technologies india private limited,"Chennai, Bangalore/Bengaluru, Delhi / NCR",2-7 Yrs,"Python
communication
analytical
analytics
Data Science
Natural Language Processing
machine learning
analytis"
7,Machine Learning Engineer,SPI technologies india private limited,"Chennai, Bangalore/Bengaluru, Delhi / NCR",2-7 Yrs,"communication
Python
analytics
analytical
IT Skills
Machine Learning
Data Science
Natural Language Processing"
8,Data Scientist - Machine Learning,Career Infosystem,Noida,1-5 Yrs,"MongoDB
ML domain
Machine Learning
Predictive modeling
Spark
Python
Deep Learning stack
NLP"
9,Data Scientist - Image Recognition/Machine Learning,CarbyneTech India,Hyderabad/Secunderabad,5-10 Yrs,"Image Recognition
Machine Learning
Python
Hive
design
Learning
Spacy
Pytorch"
10,Technology Services - Senior Analyst - Machine Learning Consultant,eClerx,Chandigarh,2-5 Yrs,"AI
ML
learning
Python
Linux
deep learning
Pandas
machine learning"
11,Machine Learning Data Science Practitioner,Accenture,Noida,4-6 Yrs,"Python
GCP
analytical
Azure
verbal
ETL
written
KNIME"
12,SPECIALIST- DATA ANALYST- MACHINE LEARNING/SPOTFIRE,Carrierin Services,Bangalore/Bengaluru,3-6 Yrs,"HVAC
Analytical
Artificial Intelligence
Machine learning
Data Analyst
Refrigeration
Operations
Python"
13,Data Scientist / Machine Learning Engineer,PubMatic,New Delhi,3-7 Yrs,"Computer science
Data analysis
Machine learning
Metrics analysis
Data mining
MATLAB
Statistics
SQL"
14,Data Engineer: Machine Learning,IBM,Bangalore/Bengaluru,4-8 Yrs,"RDS
EC2
agile
AWS cloud
AWS
Python
Machine learning
Data Interpretation"
15,Data Scientist - Machine Learning/APICS,CarbyneTech India,Hyderabad/Secunderabad,3-8 Yrs,"APICS
Machine Learning
Python
Data Science
R
NLP
Artificial Intelligence
Data Management"
16,Data Engineer - Python / Machine Learning,Vanguard Talent Hub,Delhi / NCR,6-9 Yrs,"Python
django
flask
Vagrant
CICD
Docker
MicroServices
DevOps"
17,Machine Learning Engineer - Python,Marktine,"Jaipur, Bangalore/Bengaluru, Delhi / NCR",4-9 Yrs,"Machine Learning
Forecasting
Python
SpaCy
NLTK
Tensorflow
Cluster analysis
Ensemble machine learning"
18,Machine Learning - Engineer,DOCQUITY SERVICES PRIVATE LIMITED,"Bangalore/Bengaluru, Delhi / NCR",1-3 Yrs,"Machine Learning
Deep Learning"
19,Machine Learning Lead / Architect - Looking For Early Joiners - Wipro,Wipro,"Kochi/Cochin, Kolkata, Gurgaon/Gurugram, Chennai, Coimbatore, Bangalore/Bengaluru, Mumbai (All Areas), Pune, Hyderabad
(WFH during Covid)",5-10 Yrs,"Computer Vision
Machine Learning
Python
IT Skills
Cloud
Pytorch
Tensorflow
Artificial Intelligence"
20,Lead Data Scientist - Deep Learning/machine Learning,Confidential,Bangalore/Bengaluru,4-9 Yrs,"written
Cluster analysis
Linear Regression
Caffe
verbal
gradient descent
PyTorch
SAS"
21,Data Science - Machine Learning Engineer,BCG Attorney Search,"Ahmedabad(Bodakdev)
(WFH during Covid)",5-8 Yrs,"algorithms
Business Intelligence
Visualization
Statistician
predictive analytics
Big Data
Data Mining
machine learning"
22,Artificial Intelligence/Machine Learning Engineer,Ezeiatech Systems Private Limited,Gurgaon/Gurugram,0-5 Yrs,"IT Skills
Python
Machine Learning
Tensorflow
NLP
Artificial Intelligence
Deep Learning"
23,Computer Vision/Artificial Intelligence/Machine Learning Engineer,e-con Systems,Chennai,0-1 Yrs,"IT Skills
Python
Machine Learning
Artificial Intelligence
C++
Linux
Image Processing
Computer Vision"
24,"Faculty For Machine Learning And Big Data Job in Karve Nagar, Pune","MKSSS-AIT, Center for Data Science, Machine Learning and AI",Pune,0-3 Yrs,"training
machine learning
big data
SQL Server Analysis Services
Power Bi
Natural Language Processing
teaching
Tableau"
25,Associate Principal Engineer (Machine Learning),Nagarro,Remote,9-12 Yrs,"python
aws
machine learning
IT Skills
Cloud
kubernetes
build
design patterns"
26,Data Scientist (Machine Learning /AI),Mastermind Network,"Delhi / NCR
(WFH during Covid)",2-7 Yrs,"Tensorflow
deep learning
python
data science
Artificial Intelligence
decision trees
machine learning
Analytics"
27,Machine Learning Engineer,SPI technologies india private limited,"Chennai, Bangalore/Bengaluru, Delhi / NCR",2-7 Yrs,"Python
communication
analytical
analytics
Data Science
Natural Language Processing
machine learning
analytis"
28,Machine Learning Engineer,SPI technologies india private limited,"Chennai, Bangalore/Bengaluru, Delhi / NCR",2-7 Yrs,"communication
Python
analytics
analytical
IT Skills
Machine Learning
Data Science
Natural Language Processing"
