,roles,companies,locations,experience,skills,skill index
0,Data Scientist - Lead / Architect  Wipro,Wipro,"'Kochi', ' Kolkata', ' Pune', ' Gurgaon', ' Chennai', ' Coimbatore', ' Bangalore', ' Mumbai (All Areas)', 'Hyderabad'",5-10 ,"['_', 'data science', '_', '_', '_', 'python', '_', 'it skills', '_', 'artificial intelligence', '_', '_', '_', 'big data', '_', 'r', '_']",-1.0
1,Urgent Requirement || Data Scientist || Noida,HCL,"'Noida', 'Delhi'",3-8 ,"['_', 'it skills', '_', 'python', '_', 'machine learning', '_', '_', '_', '_', '_']",-1.0
2,Global Tax Automation & Operations - Data Scientist Senior Analyst,Dell,'Bangalore',3-5 ,"['_', 'artificial intelligence', '_', 'data science', '_', '_', '_', 'it skills', '_', 'python', '_', '_', '_', 'machine learning', '_', '_', '_']",-1.0
3,Data Analyst / Data Scientist / Business Analytics / Fresher - MNC,GABA Consultancy services,"'Noida', ' New Delhi', 'Delhi'",0-0 ,"['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
4,Technical Architect/ Data Scientist,DMI Innovations Pvt. Ltd,"'Noida', ' Pune', ' Chennai', 'Bangalore'",8-13 ,"['_', 'it skills', '_', 'python', '_', '_', '_', '_', '_', 'data science', '_', 'machine learning', '_', 'artificial intelligence', '_', '_', '_']",-1.0
5,Technical Architect/ Data Scientist,DMI Innovations Pvt. Ltd,"'Noida', ' Pune', ' Chennai', 'Bangalore'",8-13 ,"['_', 'it skills', '_', 'python', '_', '_', '_', '_', '_', 'data science', '_', 'machine learning', '_', 'artificial intelligence', '_', '_', '_']",-1.0
6,Data Scientist/Senior Scientist - Python/Spark/Hadoop,Connexions,'Gurgaon',2-6 ,"['_', '_', '_', '_', '_', '_', '_', 'it skills', '_', 'python', '_', 'machine learning', '_', '_', '_', 'big data', '_']",-1.0
7,Data Scientist - Lead / Architect  Wipro,Wipro,"'Kochi', ' Kolkata', ' Pune', ' Gurgaon', ' Chennai', ' Coimbatore', ' Bangalore', ' Mumbai (All Areas)', 'Hyderabad'",5-10 ,"['_', 'data science', '_', '_', '_', 'python', '_', 'artificial intelligence', '_', 'r', '_', 'sql', '_', '_', '_', '_', '_']",-1.0
8,Data Analyst / Data Scientist,GUS Global Services,'Gurgaon',3-4 ,"['_', '_', '_', '_', '_', '_', '_', '_', '_', 'python', '_', '_', '_', 'data science', '_', '_', '_']",-1.0
9,Data Scientist / ML Engineer,AVE-Promagne,"'Noida', ' Kota', ' Mumbai', ' Chandigarh', ' Lucknow', ' Agra', ' Gurgaon', ' Jaipur', 'Bangalore'",3-8 ,"['_', '_', '_', 'data science', '_', '_', '_', '_', '_', 'machine learning', '_', '_', '_', '_', '_']",-1.0
10,Data Scientist,TRH Consultancy Services,"'Kolkata', ' Mumbai', ' Nagpur', ' Hyderabad', ' Pune', ' Chennai', ' Coimbatore', ' Bangalore', 'Delhi'",5-10 ,"['_', 'r', '_', 'python', '_', '_', '_', 'it skills', '_', '_', '_', 'machine learning', '_', 'big data', '_', '_', '_']",1.0
11,Lead Data Scientist,NAVIKENZ INDIA PRIVATE LIMITED,"'Hyderabad', ' Bangalore', 'Delhi'",5-10 ,"['_', 'machine learning', '_', '_', '_', 'data science', '_', 'it skills', '_', 'java', '_', 'python', '_', '_', '_', '_', '_']",-1.0
12,Senior Data Scientist,Shell,"'Chennai', 'Bangalore'",6-11 ,"['_', '_', '_', '_', '_', '_', '_', 'data science', '_', '_', '_', 'r', '_', '_', '_', '_', '_']",-1.0
13,Data Scientist,SplashLearn,'Gurgaon',4-9 ,"['_', 'computer science', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'data science', '_', '_', '_', 'machine learning', '_']",-1.0
20,Data Scientist - Lead / Architect  Wipro,Wipro,"'Kochi', ' Kolkata', ' Pune', ' Gurgaon', ' Chennai', ' Coimbatore', ' Bangalore', ' Mumbai (All Areas)', 'Hyderabad'",5-10 ,"['_', 'data science', '_', '_', '_', 'python', '_', 'it skills', '_', 'artificial intelligence', '_', '_', '_', 'big data', '_', 'r', '_']",-1.0
21,Urgent Requirement || Data Scientist || Noida,HCL,"'Noida', 'Delhi'",3-8 ,"['_', 'it skills', '_', 'python', '_', 'machine learning', '_', '_', '_', '_', '_']",-1.0
22,Global Tax Automation & Operations - Data Scientist Senior Analyst,Dell,'Bangalore',3-5 ,"['_', 'artificial intelligence', '_', 'data science', '_', '_', '_', 'it skills', '_', 'python', '_', '_', '_', 'machine learning', '_', '_', '_']",-1.0
23,Data Analyst / Data Scientist / Business Analytics / Fresher - MNC,GABA Consultancy services,"'Noida', ' New Delhi', 'Delhi'",0-0 ,"['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
24,Technical Architect/ Data Scientist,DMI Innovations Pvt. Ltd,"'Noida', ' Pune', ' Chennai', 'Bangalore'",8-13 ,"['_', 'it skills', '_', 'python', '_', '_', '_', '_', '_', 'data science', '_', 'machine learning', '_', 'artificial intelligence', '_', '_', '_']",-1.0
25,Technical Architect/ Data Scientist,DMI Innovations Pvt. Ltd,"'Noida', ' Pune', ' Chennai', 'Bangalore'",8-13 ,"['_', 'it skills', '_', 'python', '_', '_', '_', '_', '_', 'data science', '_', 'machine learning', '_', 'artificial intelligence', '_', '_', '_']",-1.0
